language_no	language_ru	language	language_external	expert_ru	consultant_ru	expert	consultant	data_collection_year	initial_release_date	last_release_date	macroarea	family (WALS)	genus (WALS)	latitude	longitude	number_nominal_cases	source_of_information	contact_language	glottocode	comment_on_glottocode	WO_WALS	WO_comment
1	русский	Russian	Russian	Сергей Сергеевич Сай		Sergey Say		2011	November 7, 2020	April 1, 2023	Europe	Indo-European	Slavic	56	38	6	WALS; personal knowledge	Russian	russ1263		SVO	
2	арабский литературный	Arabic_Standard	Standard Arabic	Рамазан Гамидович Мамедшахов, Никита Сергеевич Кузин		Ramazan Mamedshaxov, Nikita Kuzin		2011, 2024	February 8, 2024	February 8, 2024	West Asia and the Caucasus	Afro-Asiatic	Semitic	27.96	43.85	3	glottolog; Mamedshaxov, materials	Russian	stan1318		VSO	In my actual data, the dominant WO is SVO
3	гуарани	Guarani_Paraguayan	Paraguayan Guaraní	Дмитрий Валентинович Герасимов		Dmitry Gerasimov					South America	Tupian	Maweti-Guarani	-25.61	-57.09	1	glottolog; WALS, Gerasimov p.c.		para1311		SVO	
4	эстонский	Estonian	Estonian	Мерит Ниинемяги		Merit Niinemägi		2009, 2021	December 12, 2021	December 12, 2021	Europe	Uralic	Finnic	58.55	25.82	14	glottolog; wikipedia	English	esto1258		SVO	
5	цахурский	Tsakhur	Tsakhur	Жиль Отье	Ахмед Давудов	Gilles Authier	Ahmed Davudov	2009, 2023	December 12, 2023	June 6, 2024	West Asia and the Caucasus	Nakh-Daghestanian	Lezgic	41.59	46.89	20	glottolog; книжка, латив и аллатив считаю за одну серию, с. 54 и далее		tsak1249		SOV	Extrapolation
6	тувинский	Tuvinian	Tuvinian	Софья Алексеевна Оскольская		Sofia Oskolskaya					North and Central Asia	Altaic	Turkic	51.7	94.37	8	glottolog; Oskolskaya, materials		tuvi1240		SOV	
7	ингерманландский финский	Finnish_Ingrian	Ingrian Finnish	Дарья Федоровна Мищенко		Daria Mishchenko					Europe	Uralic	Finnic	59.47	29.71	13	Coordinates are taken from Glottolog as they are shown for Ingrian (ижорский); Mishchenko 2018: 316		finn1318	Ingrian Finnish is a variety of Glottolog's "Finnish" (finn1318) spoken in Ingria. It is different from standard Finnish.	SVO	Extrapolation
8	баскский	Basque	Basque	Наталья Михайловна Заика		Natalia Zaika					Europe	Basque	Basque	43.28	-1.32	16	glottolog; Zaika 2018: 296		basq1248		SOV	
9	французский	French	French	Елена Евгеньевна Корди		Elena Kordi		2010	May 9, 2023	August 13, 2023	Europe	Indo-European	Romance	48	2	1	glottolog; рабочие материалы		stan1290		SVO	
10	немецкий	German	German	Сандра Бирцер		Sandra Birzer		2013	February 27, 2023	January 17, 2024	Europe	Indo-European	Germanic	52	10	4	WALS; WALS		stan1295		NO	
11	багвалинский	Bagvalal	Bagvalal	Дмитрий Валентинович Герасимов		Dmitry Gerasimov					West Asia and the Caucasus	Nakh-Daghestanian	Avar-Andic-Tsezic	42.4	46.1	20	glottolog; книжка, с. 144		bagv1239		SOV	Extrapolation
12	японский	Japanese	Japanese	Юкари Конума		Yukari Konuma					East and Southeast Asia	Japanese	Japanese	35	135	8	glottolog; условное решение на основе WALS (8-9) и материалов Ю. Конума		nucl1643		SOV	
13	литовский	Lithuanian	Lithuanian	Наталья Михайловна Заика		Natalia Zaika					Europe	Indo-European	Baltic	55.14	23.96	7	glottolog; wikipedia		lith1251		SVO	
14	калмыцкий	Kalmyk	Kalmyk	Сергей Сергеевич Сай		Sergey Say					Europe	Altaic	Mongolic	46.57	45.32	9	Unknown source of coordinates, but it is better than WALS/glottolog; Say 2009: 637	Russian	kalm1244	Kalmyk is a variety of the Glottolog's "Oirad-Kalmyk-Darkhat" (kalm 1243) spoken to the North-West of the Caspian Sea	SOV	Extrapolation
15	кхмерский	Khmer	Khmer	Сергей Юрьевич Дмитренко		Sergey Dmitrenko					East and Southeast Asia	Austro-Asiatic	Khmer	12.05	105.02	1	glottolog; WALS		cent1989	In Glottolog, this variety is referred to as "Central Khmer"	SVO	
16	башкирский	Bashkir	Bashkir	Сергей Сергеевич Сай		Sergey Say					Europe	Altaic	Turkic	53.6	56.56	6	glottolog; Say 2018: 377		bash1264		SOV	Extrapolation
17	латышский	Latvian	Latvian	Наталья Викторовна Перкова		Natalia Perkova					Europe	Indo-European	Baltic	56.83	24.31	5	glottolog; рабочие материалы		stan1325	In Glottolog, this variety is referred to as "Standard Latvian"	SVO	
18	гуро	Guro	Guro	Ольга Васильевна Кузнецова		Olga Kuznetsova					Sub-Saharan Africa	Mande	Eastern Mande	7.35	-6.31	1	glottolog; Кузнецова, Кузнецова 2017: 783		guro1248		SOV	Extrapolation
19	лоома	Loma	Loma	Дарья Федоровна Мищенко		Daria Mishchenko					Sub-Saharan Africa	Mande	Western Mande	8.2	-9.23	1	Coordinates are taken for Glottolog's "Toma", the only Loma variety shown outside of Liberia; Мищенко 2017, языки мира		loma1260	Glottolog's loma1260 is referred to as "Loma (Liberia)"; the actual data were gathered in Guinea (fialect Woi-Bhalaga)	SOV	Extrapolation
20	лезгинский	Lezgian	Lezgian	Рамазан Гамидович Мамедшахов		Ramazan Mamedshaxov					West Asia and the Caucasus	Nakh-Daghestanian	Lezgic	41.52	47.9	18	Mamedshaxov 2018: 274		lezg1247		SOV	
21	новогреческий	Greek_Modern	Modern Greek	Екатерина Александровна Желтова		Ekaterina Zheltova					Europe	Indo-European	Greek	38.36	23.13	4	glottolog; рабочие материалы		mode1248		NO	
22	древнегреческий	Greek_Ancient	Ancient Greek	Ильдар Ильбекович Ибрагимов		Ildar Ibragimov					Europe	Indo-European	Greek	39.82	21.91	5	glottolog (Ionic-Attic Ancient Greek); рабочие материалы		anci1242		SVO	Extrapolation
23	албанский	Albanian	Albanian	Варвара Андреевна Дивеева		Varvara Diveeva					Europe	Indo-European	Albanian	41	20	4	Glottolog (Northern Tosk Albanian); А.Ю.		tosk1239	Standard Albanian is most closely related to Glottolog's Northern Tosk Albanian (tosk1239)	SVO	
24	испанский	Spanish	Spanish	Елена Викторовна Горбова		Elena Gorbova		2012	April 14, 2022	July 24, 2022	Europe	Indo-European	Romance	40	-4	1	WALS; рабочие материалы		stan1288		SVO	
25	ирландский	Irish	Irish	Дмитрий Сергеевич Николаев		Dmitry Nikolaev		2012	April 11, 2023	July 11, 2023	Europe	Indo-European	Celtic	53.22	-7.62	2	glottolog; рабочие материалы		iris1253		VSO	
26	армянский	Armenian_Eastern	Eastern Armenian	Василиса Андреевна Кагирова		Vasilisa Kagirova					West Asia and the Caucasus	Indo-European	Armenian	40	45	5	glottolog; рабочие материалы		nucl1235	по идее его нужно называть восточноармянским	NO	
27	азербайджанский	Azerbaijani	Azerbaijani	Жиль Отье, Айтен Бабалиева, Мурад Сулейманов	Айтен Бабалиева	Gilles Authier, Ayten Babaliyeva, Murad Suleymanov	Ayten Babaliyeva	2012, 2018, 2023	November 11, 2023	June 6, 2024	West Asia and the Caucasus	Altaic	Turkic	40	48.5	6	Coordinates are taken from WALS and moved a bit (in Glottolog, this is North Azerbaijani); Authier, p.c.	Russian	nort2697	This idiom is Glottolog's North Azerbaijani (nort2697)	SOV	
28	цыганский (кэлдэрарский)	Romani_Kalderash	Kalderash Romani	Кирилл Александрович Кожанов		Kirill Kozhanov		2012	June 25, 2023	June 07, 2024	Europe	Indo-European	Indic	59.12	31.67	8	Kozhanov, p.c. (In Glottolog, Kalderash is shown as a subdialect of Vlax Romani; Vlax Romani location is very far from where the speakers were actually contacted); рабочие материалы	Russian	vlax1238	In Glottolog, Kalderash is shown as a subdialect of Vlax Romani. The actual data were gathered from Kalderash Romani speakers living in Russia	SVO	Extrapolation
29	английский	English	English	Дмитрий Сергеевич Николаев, Джоханна Николс		Dmitry Nikolaev, Johanna Nichols		2012	June 9, 2023	June 9, 2023	Europe	Indo-European	Germanic	53	-1	2	glottolog; WALS		stan1293		SVO	
30	китайский	Chinese_Mandarin	Mandarin Chinese	Елена Николаевна Колпачкова, Юру Су		Elena Kolpachkova, Yuru Xu		2012, 2023	April 14, 2023	May 14, 2023	East and Southeast Asia	Sino-Tibetan	Chinese	40.02	116.23	1	glottolog; WALS		mand1415	Строго говоря, нужно называть северным китайским	SVO	
31	польский	Polish	Polish	Георгий Алексеевич Мороз		George Moroz		2017	July 26, 2021	January 17, 2024	Europe	Indo-European	Slavic	51.84	18.63	7	glottolog; рабочие материалы	Russian	poli1260		SVO	
32	нидерландский	Dutch	Dutch	Михаил Юрьевич Князев	Вера ван Veen	Mikhail Knyazev	Vera van Veen	2013	May 14, 2022	July 25, 2022	Europe	Indo-European	Germanic	52	5	1	glottolog; WALS		dutc1256		NO	
33	итальянский	Italian	Italian	Анна Александрова, Кьяра Наккарато		Anna Alexandrova, Chiara Naccarato		2013, 2023	May 14, 2022	March 13, 2024	Europe	Indo-European	Romance	43.05	12.65	1	glottolog; рабочие материалы		ital1282		SVO	
34	коми-зырянский	Komi_Zyrian	Komi-Zyrian	Екатерина Николаевна Сергеева		Ekaterina Sergeeva					Europe	Uralic	Permic	64.05	54.95	16	glottolog; Sergeeva 2018: 339		komi1268		SVO	Extrapolation
35	осетинский	Ossetic	Ossetic	Арсений Павлович Выдрин		Arseniy Vydrin					West Asia and the Caucasus	Indo-European	Iranian	42.98	44.61	9	glottolog ("Modern Ossetic" = "Iron Ossetian"); рабочие материалы		osse1243		SOV	
36	сербский	Serbian	Serbian	Анастасия Леонидовна Макарова		Anastasia Makarova		2013	February 6, 2023	January 17, 2024	Europe	Indo-European	Slavic	44.32	21	6	Сам поставил точку где-то между WALS и glottolog; WALS (в раб. материалах и в википедии различают датив и местный, но они всегда совпадают)		serb1264	In Glottolog, this is Serbian Standard	SVO	
37	чукотский	Chukchi	Chukchi	Мария Юрьевна Пупынина		Maria Pupynina					North and Central Asia	Chukotko-Kamchatkan	Northern Chukotko-Kamchatkan	68.64	170.04	13	glottolog; Dunn 1999: 99 via Pupynina 2018		chuk1273		NO	
38	норвежский (букмол)	Norwegian_Bokmal	Norwegian Bokmål	Мария Нордрум, Ольга Васильевна Кузнецова	Maria Nordrum	Maria Nordrum, Olga Kuznetsova	Maria Nordrum	2013, 2020	February 12, 2021	December 4, 2021	Europe	Indo-European	Germanic	61.11	8.89	1	glottolog (Norwegian Bokmål); wikipedia	Russian	norw1259		SVO	
39	румынский	Romanian	Romanian	Дарья Владимировна Суетина (Конёр)		Daria Suetina (Konior)					Europe	Indo-European	Romance	46.39	24.23	2	glottolog; рабочие материалы (в моей реинтерпретации)		roma1327		SVO	
40	ингушский	Ingush	Ingush	Джоханна Николс		Johanna Nichols					West Asia and the Caucasus	Nakh-Daghestanian	Nakh	43.11	45.03	8	glottolog; Nichols 2011: 127		ingu1240		SOV	Extrapolation
41	украинский	Ukrainian	Ukrainian	Наталья Михайловна Заика		Natalia Zaika					Europe	Indo-European	Slavic	49.8	29.95	7	glottolog; википедия		ukra1253		SVO	
42	коми-пермяцкий	Komi_Permyak	Komi-Permyak	Екатерина Николаевна Сергеева, Галина Александровна Некрасова		Ekaterina Sergeeva, Galina Nekrasova					Europe	Uralic	Permic	59.66	54.8	23	glottolog; Nekrasova, Sergeeva 2018: 356		komi1269		SVO	Extrapolation
43	эрзянский	Erzya	Erzya	Ксения Андреевна Шагал		Ksenia Shagal					Europe	Uralic	Mordvin	54.44	46.3	12	the location of Dubjonki, the district centre of the place where data were gathered; Wikipedia		erzy1239		SVO	Extrapolation
44	грузинский	Georgian	Georgian	Александр Александрович Ростовцев-Попель		Alexander Rostovtsev-Popiel		2014	June 8, 2023	January 17, 2024	West Asia and the Caucasus	Kartvelian	Kartvelian	41.85	43.79	7	glottolog; Wikipedia		nucl1302		SOV	
45	нанайский	Nanai	Nanai	Дарья Федоровна Мищенко		Daria Mishchenko		2013	February 28, 2021	October 26, 2021	North and Central Asia	Altaic	Tungusic	49.28	136.47	9	the location of Naikhin, the place where data have been gathered; Mishchenko materials	Russian	nana1257		SOV	Extrapolation
46	лесной энецкий	Enets_Forest	Forest Enets	Мария Александровна Овсянникова		Maria Ovsjannikova	not shown	2015-2016	November 3, 2020	November 3, 2020	North and Central Asia	Uralic	Samoyedic	68.68	86.28	6	the location of Potapovo, the district centre of the place where data were gathered; Maria Ovsjannikova, p.c.	Russian	fore1265		SOV	
47	мандинка	Mandinka	Mandinka	Дени Крессель		Denis Creissels					Sub-Saharan Africa	Mande	Western Mande	13.15	-14.12	1	These are actual coordinates of Velingara (inhabited place on the Western periphery of the Mandinka area). Glottolog provides 12.82 (N), -15.65 (W) for Mandinka, but this is visually too close to Joola Fonyi to be useful; Creissels, p.c.		mand1436		SOV	
48	диола-фоньи	Joola_Fonyi	Joola-Fonyi	Дени Крессель		Denis Creissels					Sub-Saharan Africa	Niger-Congo	Jola	12.76	-15.74	1	glottolog; WALS		jola1263	In Glottolog, this language is referred to as Jola-Fonyi. Creissels refers to this language as Joola Fooni.	SVO	
49	сонинке	Soninke	Soninke	Дени Крессель		Denis Creissels					Sub-Saharan Africa	Mande	Western Mande	13.13	-11.72	1	glottolog; Creissels, p.c.		soni1259		SOV	
50	турецкий	Turkish	Turkish	Мария Александровна Овсянникова		Maria Ovsjannikova	Enes Taştan	2016	November 29, 2020	June 6, 2024	West Asia and the Caucasus	Altaic	Turkic	39.87	32.87	6	glottolog; wikipedia	Russian	nucl1301		SOV	
51	якутский	Yakut	Yakut	Айталина Петровна Ноговицына		Ajtalina Nogovitsyna					North and Central Asia	Altaic	Turkic	61.7	133.98	8	Nogovitsyna, materials (ref. Xaritonov)		yaku1245		SVO	
52	бурятский	Buriat	Buriat	Александра Викторовна Азаргаева		Aleksandra Azargaeva					North and Central Asia	Altaic	Mongolic	50.85	105.56	7	glottolog; Azargaeva, materials		buri1258	This language is referred to as Russia Buriat in Glottolog	SOV	
53	венгерский	Hungarian	Hungarian	Василиса Романовна Жигульская		Vasilisa Zhigulskaja					Europe	Uralic	Ugric	46.91	19.66	21	glottolog; Zhigulskaja, materials		hung1274		NO	
54	мокшанский	Moksha	Moksha	Мария Александровна Холодилова		Maria Kholodilova					Europe	Uralic	Mordvin	54.19	42.67	17	glottolog; Kholodilova 2018 (морфология имени)		moks1248		SVO	
55	эвенкийский	Evenki	Evenki	Надежда Яковлевна Булатова		Nadezhda Bulatova					North and Central Asia	Altaic	Tungusic	61.97	94.69	14	glottolog; Bulatova, Perekhvalskaja, materials		even1259		SOV	
56	удэгейский	Udihe	Udihe	Елена Всеволодовна Перехвальская		Elena Perekhvalskaja					North and Central Asia	Altaic	Tungusic	46.63	135.68	9	glottolog; Bulatova, Perekhvalskaja, materials		udih1248		SOV	
57	бенгальский	Bengali	Bengali	Майя Евгеньевна Шляхтер		Mayya Shlyakhter					South Asia	Indo-European	Indic	24	90	4	glottolog; рабочие материалы		beng1280		SOV	
58	гасконский	Gascon	Gascon	Наталья Михайловна Заика		Natalia Zaika					Europe	Indo-European	Romance	43.18	-0.14	1	glottolog; сам (на основе рабочих материалов)		occi1239	In Glottolog, Gascon is treated as a variety of Occitan (occi1239)	SVO	Extrapolation
59	горномарийский	Mari_Western	Western Mari	Ксения Андреевна Студеникина		Ksenia Studenikina					Europe	Uralic	Mari	56.22	46.57	10	glottolog; Егор Кашкин		west2392	Same as Hill Mari	SOV	Extrapolation
60	абазинский	Abaza	Abaza	Петр Михайлович Аркадьев		Peter Arkadiev		2017	January 8, 2021	June 6, 2024	West Asia and the Caucasus	Northwest Caucasian	Northwest Caucasian	44.25	42	1	glottolog; Общие знания, анкета	Russian	abaz1241		SOV	Extrapolation
61	словенский	Slovenian	Slovenian	Андрея Желе, Младен Ухлик		Andreja Žele, Mladen Uhlik		2017, 2021	January 21, 2021	January 17, 2024	Europe	Indo-European	Slavic	46.25	14.78	6	glottolog	Russian	slov1268		SVO	
62	латынь	Latin	Latin	Инна Дмитриевна Попова		Inna Popova		2017, 2021	July 27, 2021	January 17, 2024	Europe	Indo-European	Romance	41.9	12.45	6	glottolog; общие сведения, википедия	Russian	lati1261	Classifying Latin as Romance is a conventional decision, Latin is not included in WALS and probably can't be viewed as a Romance language	NO	Extrapolation
63	чешский	Czech	Czech	Анастасия Борисовна Макарова		Anastasia Makarova		2017	July 24, 2021	January 17, 2024	Europe	Indo-European	Slavic	49.87	15.1	7	glottolog; Общие сведения, википедия	Russian	czec1258		SVO	
64	исландский	Icelandic	Icelandic	Ингунн Хрейнберг		Ingunn Hreinberg Indriðadóttir		2017			Europe	Indo-European	Germanic	63.48	-19.02	4	glottolog; Анкета		icel1247		SVO	
65	белорусский	Belarusian	Belarusian	Ольга Сергеевна Горицкая		Olga Gorickaja					Europe	Indo-European	Slavic	54	28	6	WALS; интернет		bela1254		NO	Does not make much sense to me, the same situation as in Russian
66	финский	Finnish	Finnish	Ксения Андреевна Шагал		Ksenia Shagal		2017	July 24, 2021	December 31, 2020	Europe	Uralic	Finnic	62	25	15	WALS; википедия, Ксюша, грамматика (http://scripta.kotus.fi/visk/sisallys.php?p=81)	English	finn1318	Glottolog's Finnish is represented by two varieties in Bivaltyp: Finnish proper (here) and Ingrian Finnish	SVO	
67	македонский	Macedonian	Macedonian	Владимир Сергеевич Федоров, Мария Ивановна Хажомия		Vladimir Fedorov, Maria Khazhomia					Europe	Indo-European	Slavic	41.6	21.79	1	glottolog; википедия, общие сведения		mace1250		SVO	
68	рутульский (киновский)	Rutul_Kina	Kina Rutul	Михаил Александрович Даниэль, Анастасия Алексеевна Василисина, Степан Кириллович Михайлов		Michael Daniel, Anastasia Vasilisina, Stepan Mikhajlov		2015-2019	September 17, 2020	June 6, 2024	West Asia and the Caucasus	Nakh-Daghestanian	Lezgic	41.62	47.32	15	glottolog; Daniel,  .md file	Russian	rutu1240	This code is that of Rutul (same as Mukhad Rutul)	SOV	
69	адыгейский	Adyghe_West_Circassian	Adyghe (West Circassian)	Петр Михайлович Аркадьев, Ирина Гаруновна Багирокова	Ирина Гаруновна Багирокова	Peter Arkadiev, Irina Bagirokova	Irina Bagirokova	2018	July 25, 2023	November 19, 2023	West Asia and the Caucasus	Northwest Caucasian	Northwest Caucasian	45.07	39.5	4	the place of birth of the main concultant (Adamij); Личное знание		adyg1241	these coordinates are taken off the top of my head	SOV	
70	гоо	Goo	Goo	Екатерина Сергеевна Аплонова		Ekaterina Aplonova					Sub-Saharan Africa	Mande	Eastern Mande	7.58	-7.56	1	glottolog; общее знание		gooa1234		SOV	Extrapolation
